"Date","Price","Open","High","Low","Change %"
"Jan 13, 2009","0.7580","0.7580","0.7580","0.7580","0.53%"
"Jan 12, 2009","0.7540","0.7540","0.7540","0.7540","-0.66%"
"Jan 09, 2009","0.7590","0.7590","0.7590","0.7590","-9.96%"
"Jan 08, 2009","0.8430","0.8430","0.8430","0.8430","2.93%"
"Jan 07, 2009","0.8190","0.8190","0.8190","0.8190","5.13%"
"Jan 06, 2009","0.7790","0.7790","0.7790","0.7790","0.39%"
"Jan 05, 2009","0.7760","0.7760","0.7760","0.7760","-6.17%"
"Jan 02, 2009","0.8270","0.8270","0.8270","0.8270","7.68%"
"Dec 31, 2008","0.7680","0.7680","0.7680","0.7680","5.93%"
"Dec 30, 2008","0.7250","0.7250","0.7250","0.7250","-7.53%"
"Dec 29, 2008","0.7840","0.7840","0.7840","0.7840","-13.56%"
"Dec 26, 2008","0.9070","0.9070","0.9070","0.9070","-0.77%"
"Dec 24, 2008","0.9140","0.9140","0.9140","0.9140","1.22%"
"Dec 23, 2008","0.9030","0.9030","0.9030","0.9030","32.99%"
"Dec 22, 2008","0.6790","0.6790","0.6790","0.6790","-9.47%"
"Dec 19, 2008","0.7500","0.7500","0.7500","0.7500","9.01%"
"Dec 18, 2008","0.6880","0.6880","0.6880","0.6880","-8.63%"
"Dec 17, 2008","0.7530","0.7530","0.7530","0.7530","14.61%"
"Dec 16, 2008","0.6570","0.6570","0.6570","0.6570","-11.46%"
"Dec 15, 2008","0.7420","0.7420","0.7420","0.7420","-3.26%"
"Dec 12, 2008","0.7670","0.7670","0.7670","0.7670","-4.24%"
"Dec 11, 2008","0.8010","0.8010","0.8010","0.8010","-6.97%"
"Dec 10, 2008","0.8610","0.8610","0.8610","0.8610","0.82%"
"Dec 09, 2008","0.8540","0.8540","0.8540","0.8540","-9.34%"
"Dec 08, 2008","0.9420","0.9420","0.9420","0.9420","0.00%"
"Dec 05, 2008","0.9420","0.9420","0.9420","0.9420","14.74%"
"Dec 04, 2008","0.8210","0.8210","0.8210","0.8210","-7.96%"
"Dec 03, 2008","0.8920","0.8920","0.8920","0.8920","-0.56%"
"Dec 02, 2008","0.8970","0.8970","0.8970","0.8970","-2.18%"
"Dec 01, 2008","0.9170","0.9170","0.9170","0.9170","-8.30%"
"Nov 28, 2008","1.0000","1.0000","1.0000","1.0000","-9.99%"
"Nov 26, 2008","1.1110","1.1110","1.1110","1.1110","-6.95%"
"Nov 25, 2008","1.1940","1.1940","1.1940","1.1940","-4.56%"
"Nov 24, 2008","1.2510","1.2510","1.2510","1.2510","10.61%"
"Nov 21, 2008","1.1310","1.1310","1.1310","1.1310","16.96%"
"Nov 20, 2008","0.9670","0.9670","0.9670","0.9670","-9.79%"
"Nov 19, 2008","1.0720","1.0720","1.0720","1.0720","-5.80%"
"Nov 18, 2008","1.1380","1.1380","1.1380","1.1380","-5.09%"
"Nov 17, 2008","1.1990","1.1990","1.1990","1.1990","-1.40%"
